Date,Open,High,Low,Close,Volume
24-05-17,153.84,154.17,152.67,153.34,19219154
23-05-17,154.90,154.90,153.31,153.80,19918871
22-05-17,154.00,154.58,152.91,153.99,22966437
19-05-17,153.38,153.98,152.63,153.06,26960788
18-05-17,151.27,153.34,151.13,152.54,33568215
17-05-17,153.60,154.57,149.71,150.25,50767678
16-05-17,155.94,156.06,154.72,155.47,20048478
15-05-17,156.01,156.65,155.05,155.70,26009719
12-05-17,154.70,156.42,154.67,156.10,32527017
11-05-17,152.45,154.07,152.31,153.95,27255058
10-05-17,153.63,153.94,152.11,153.26,25805692
9-05-17,153.87,154.88,153.45,153.99,39130363
8-05-17,149.03,153.70,149.03,153.01,48752413
5-05-17,146.76,148.98,146.76,148.96,27327725
4-05-17,146.52,147.14,145.81,146.53,23371872
3-05-17,145.59,147.49,144.27,147.06,45697034
2-05-17,147.54,148.09,146.84,147.51,45352194
1-05-17,145.10,147.20,144.96,146.58,33602943
28-04-17,144.09,144.30,143.27,143.65,20860358
27-04-17,143.92,144.16,143.31,143.79,14246347
26-04-17,144.47,144.60,143.38,143.68,20041241
25-04-17,143.91,144.90,143.87,144.53,18871501
24-04-17,143.50,143.95,143.18,143.64,17134333
21-04-17,142.44,142.68,141.85,142.27,17320928
20-04-17,141.22,142.92,141.16,142.44,23319562
19-04-17,141.88,142.00,140.45,140.68,17328375
18-04-17,141.41,142.04,141.11,141.20,14697544
17-04-17,141.48,141.88,140.87,141.83,16582094
13-04-17,141.91,142.38,141.05,141.05,17822880
12-04-17,141.60,142.15,141.01,141.80,20350000
11-04-17,142.94,143.35,140.06,141.63,30379376
10-04-17,143.60,143.88,142.90,143.17,18933397
7-04-17,143.73,144.18,143.27,143.34,16672198
6-04-17,144.29,144.52,143.45,143.66,21149034
5-04-17,144.22,145.46,143.81,144.02,27717854
4-04-17,143.25,144.89,143.17,144.77,19891354
3-04-17,143.71,144.12,143.05,143.70,19985714
31-03-17,143.72,144.27,143.01,143.66,19661651
30-03-17,144.19,144.50,143.50,143.93,21207252
29-03-17,143.68,144.49,143.19,144.12,29189955
28-03-17,140.91,144.04,140.62,143.80,33374805
27-03-17,139.39,141.22,138.62,140.88,23575094
24-03-17,141.50,141.74,140.35,140.64,22395563
23-03-17,141.26,141.58,140.61,140.92,20346301
22-03-17,139.84,141.60,139.76,141.42,25860165
21-03-17,142.11,142.80,139.73,139.84,39529912
20-03-17,140.40,141.50,140.23,141.46,21542038
17-03-17,141.00,141.00,139.89,139.99,43884952
16-03-17,140.72,141.02,140.26,140.69,19231998
15-03-17,139.41,140.75,139.02,140.46,25691774
14-03-17,139.30,139.65,138.84,138.99,15309065
13-03-17,138.85,139.43,138.82,139.20,17421717
10-03-17,139.25,139.36,138.64,139.14,19612801
9-03-17,138.74,138.79,137.05,138.68,22155904
8-03-17,138.95,139.80,138.82,139.00,18707236
7-03-17,139.06,139.98,138.79,139.52,17446297
6-03-17,139.36,139.77,138.60,139.34,21750044
3-03-17,138.78,139.83,138.59,139.78,21571121
2-03-17,140.00,140.28,138.76,138.96,26210984
1-03-17,137.89,140.15,137.60,139.79,36414585
28-02-17,137.08,137.44,136.70,136.99,23482860
27-02-17,137.14,137.44,136.28,136.93,20257426
24-02-17,135.91,136.66,135.28,136.66,21776585
23-02-17,137.38,137.48,136.30,136.53,20788186
22-02-17,136.43,137.12,136.11,137.11,20836932
21-02-17,136.23,136.75,135.98,136.70,24507156
17-02-17,135.10,135.83,135.10,135.72,22198197
16-02-17,135.67,135.90,134.84,135.34,22584555
15-02-17,135.52,136.27,134.62,135.51,35623100
14-02-17,133.47,135.09,133.25,135.02,33226223
13-02-17,133.08,133.82,132.75,133.29,23035421
10-02-17,132.46,132.94,132.05,132.12,20065458
9-02-17,131.65,132.44,131.12,132.42,28349859
8-02-17,131.35,132.22,131.22,132.04,23004072
7-02-17,130.54,132.09,130.45,131.53,38183841
6-02-17,129.13,130.50,128.90,130.29,26845924
3-02-17,128.31,129.19,128.16,129.08,24507301
2-02-17,127.98,129.39,127.78,128.53,33710411
1-02-17,127.03,130.49,127.01,128.75,111985040
31-01-17,121.15,121.39,120.62,121.35,49200993
30-01-17,120.93,121.63,120.66,121.63,30377503
27-01-17,122.14,122.35,121.60,121.95,20562944
26-01-17,121.67,122.44,121.60,121.94,26337576
25-01-17,120.42,122.10,120.28,121.88,32586673
24-01-17,119.55,120.10,119.50,119.97,23211038
23-01-17,120.00,120.81,119.77,120.08,22050218
20-01-17,120.45,120.45,119.73,120.00,32597892
19-01-17,119.40,120.09,119.37,119.78,25597291
18-01-17,120.00,120.50,119.71,119.99,23712961
17-01-17,118.34,120.24,118.22,120.00,34439843
13-01-17,119.11,119.62,118.81,119.04,26111948
12-01-17,118.90,119.30,118.21,119.25,27086220
11-01-17,118.74,119.93,118.60,119.75,27588593
10-01-17,118.77,119.38,118.30,119.11,24462051
9-01-17,117.95,119.43,117.94,118.99,33561948
6-01-17,116.78,118.16,116.47,117.91,31751900
5-01-17,115.92,116.86,115.81,116.61,22193587
4-01-17,115.85,116.51,115.75,116.02,21118116
3-01-17,115.80,116.33,114.76,116.15,28781865
30-12-16,116.65,117.20,115.43,115.82,30586265
29-12-16,116.45,117.11,116.40,116.73,15039519
28-12-16,117.52,118.02,116.20,116.76,20905892
27-12-16,116.52,117.80,116.49,117.26,18296855
23-12-16,115.59,116.52,115.59,116.52,14249484
22-12-16,116.35,116.51,115.64,116.29,26085854
21-12-16,116.80,117.40,116.78,117.06,23783165
20-12-16,116.74,117.50,116.68,116.95,21424965
19-12-16,115.80,117.38,115.75,116.64,27779423
16-12-16,116.47,116.50,115.64,115.97,44351134
15-12-16,115.38,116.73,115.23,115.82,46524544
14-12-16,115.04,116.20,114.98,115.19,34031834
13-12-16,113.84,115.92,113.75,115.19,43733811
12-12-16,113.29,115.00,112.49,113.30,26374377
9-12-16,112.31,114.70,112.31,113.95,34402627
8-12-16,110.86,112.43,110.60,112.12,27068316
7-12-16,109.26,111.19,109.16,111.03,29998719
6-12-16,109.50,110.36,109.19,109.95,26195462
5-12-16,110.00,110.03,108.25,109.11,34324540
2-12-16,109.17,110.09,108.85,109.90,26527997
1-12-16,110.36,110.94,109.03,109.49,37086862
30-11-16,111.60,112.20,110.27,110.52,36162258
29-11-16,110.78,112.03,110.07,111.46,28528750
28-11-16,111.43,112.46,111.39,111.57,27193983
25-11-16,111.47,111.87,110.95,111.79,11475922
23-11-16,111.36,111.51,110.33,111.23,27426394
22-11-16,111.95,112.42,111.40,111.80,25965534
21-11-16,110.12,111.99,110.01,111.73,29264571
18-11-16,109.72,110.54,109.66,110.06,28428917
17-11-16,109.81,110.35,108.83,109.95,26964598
16-11-16,106.70,110.23,106.60,109.99,58840522
15-11-16,106.57,107.68,106.16,107.11,32264510
14-11-16,107.71,107.81,104.08,105.71,51175504
11-11-16,107.12,108.87,106.55,108.43,34143898
10-11-16,111.09,111.09,105.83,107.79,57134541
9-11-16,109.88,111.32,108.05,110.88,59176361
8-11-16,110.31,111.72,109.70,111.06,24254179
7-11-16,110.08,110.51,109.46,110.41,32560000
4-11-16,108.53,110.25,108.11,108.84,30836997
3-11-16,110.98,111.46,109.55,109.83,26932602
2-11-16,111.40,112.35,111.23,111.59,28331709
1-11-16,113.46,113.77,110.53,111.49,43825812
31-10-16,113.65,114.23,113.20,113.54,26419398
28-10-16,113.87,115.21,113.45,113.72,37861662
27-10-16,115.39,115.86,114.10,114.48,34562045
26-10-16,114.31,115.70,113.31,115.59,66134219
25-10-16,117.95,118.36,117.31,118.25,48128970
24-10-16,117.10,117.74,117.00,117.65,23538673
21-10-16,116.81,116.91,116.28,116.60,23192665
20-10-16,116.86,117.38,116.33,117.06,24125801
19-10-16,117.25,117.76,113.80,117.12,20034594
18-10-16,118.18,118.21,117.45,117.47,24553478
17-10-16,117.33,117.84,116.78,117.55,23624896
14-10-16,117.88,118.17,117.13,117.63,35652191
13-10-16,116.79,117.44,115.72,116.98,35192406
12-10-16,117.35,117.98,116.75,117.34,37586787
11-10-16,117.70,118.69,116.20,116.30,64041043
10-10-16,115.02,116.75,114.72,116.05,36235956
7-10-16,114.31,114.56,113.51,114.06,24358443
6-10-16,113.70,114.34,113.13,113.89,28779313
5-10-16,113.40,113.66,112.69,113.05,21453089
4-10-16,113.06,114.31,112.63,113.00,29736835
3-10-16,112.71,113.05,112.28,112.52,21701760
30-09-16,112.46,113.37,111.80,113.05,36379106
29-09-16,113.16,113.80,111.80,112.18,35886990
28-09-16,113.69,114.64,113.43,113.95,29641085
27-09-16,113.00,113.18,112.34,113.09,24607412
26-09-16,111.64,113.39,111.55,112.88,29869442
23-09-16,114.42,114.79,111.55,112.71,52481151
22-09-16,114.35,114.94,114.00,114.62,31073984
21-09-16,113.85,113.99,112.44,113.55,36003185
20-09-16,113.05,114.12,112.51,113.57,34514269
19-09-16,115.19,116.18,113.25,113.58,47023046
16-09-16,115.12,116.13,114.04,114.92,79886911
15-09-16,113.86,115.73,113.49,115.57,90613177
14-09-16,108.73,113.03,108.60,111.77,112340318
13-09-16,107.51,108.79,107.24,107.95,62176190
12-09-16,102.65,105.72,102.53,105.44,45292770
9-09-16,104.64,105.72,103.13,103.13,46556984
8-09-16,107.25,107.27,105.24,105.52,53002026
7-09-16,107.83,108.76,107.07,108.36,42364328
6-09-16,107.90,108.30,107.51,107.70,26880391
2-09-16,107.70,108.00,106.82,107.73,26334858
1-09-16,106.14,106.80,105.62,106.73,26701523
31-08-16,105.66,106.57,105.64,106.10,29662406
30-08-16,105.80,106.50,105.50,106.00,24863945
29-08-16,106.62,107.44,106.29,106.82,24970300
